Date;Close
1.01.2015;314,3
2.01.2015;315
3.01.2015;281,1
4.01.2015;264,2
5.01.2015;274,5
6.01.2015;286,2
7.01.2015;294,3
8.01.2015;283,4
9.01.2015;290,4
10.01.2015;274,8
11.01.2015;265,7
12.01.2015;267,8
13.01.2015;225,9
14.01.2015;178,1
15.01.2015;209,8
16.01.2015;208,1
17.01.2015;199,3
18.01.2015;210,3
19.01.2015;214,9
20.01.2015;211,3
21.01.2015;226,9
22.01.2015;233,4
23.01.2015;232,9
24.01.2015;247,9
25.01.2015;253,7
26.01.2015;273,5
27.01.2015;263,5
28.01.2015;233,9
29.01.2015;233,5
30.01.2015;226,4
31.01.2015;217,5
1.02.2015;227
2.02.2015;238,2
3.02.2015;227,3
4.02.2015;226,9
5.02.2015;217,1
6.02.2015;222,3
7.02.2015;227,8
8.02.2015;223,4
9.02.2015;220,1
10.02.2015;219,8
11.02.2015;219,2
12.02.2015;221,8
13.02.2015;235,4
14.02.2015;257,3
15.02.2015;234,8
16.02.2015;233,8
17.02.2015;243,6
18.02.2015;236,3
19.02.2015;240,3
20.02.2015;243,8
21.02.2015;244,5
22.02.2015;236
23.02.2015;238,9
24.02.2015;238,7
25.02.2015;237,5
26.02.2015;236,4
27.02.2015;253,8
28.02.2015;254,3
1.03.2015;260,2
2.03.2015;275,7
3.03.2015;281,7
4.03.2015;273,1
5.03.2015;276,2
6.03.2015;272,7
7.03.2015;276,3
8.03.2015;274,4
9.03.2015;289,6
10.03.2015;291,8
11.03.2015;296,4
12.03.2015;294,4
13.03.2015;285,3
14.03.2015;281,9
15.03.2015;286,4
16.03.2015;290,6
17.03.2015;285,5
18.03.2015;256,3
19.03.2015;260,9
20.03.2015;261,8
21.03.2015;260
22.03.2015;268
23.03.2015;266,7
24.03.2015;245,6
25.03.2015;246,2
26.03.2015;248,5
27.03.2015;247
28.03.2015;252,8
29.03.2015;242,7
30.03.2015;247,5
31.03.2015;244,2
1.04.2015;247,3
2.04.2015;253
3.04.2015;254,3
4.04.2015;253,7
5.04.2015;260,6
6.04.2015;255,5
7.04.2015;253,2
8.04.2015;245
9.04.2015;243,7
10.04.2015;236,1
11.04.2015;236,6
12.04.2015;236,2
13.04.2015;224,6
14.04.2015;219,2
15.04.2015;223,8
16.04.2015;228,6
17.04.2015;222,9
18.04.2015;223,4
19.04.2015;222,6
20.04.2015;224,6
21.04.2015;235,3
22.04.2015;234,2
23.04.2015;236,5
24.04.2015;231,3
25.04.2015;226,4
26.04.2015;219,4
27.04.2015;229,3
28.04.2015;225,9
29.04.2015;225,8
30.04.2015;236,2
1.05.2015;232,1
2.05.2015;234,9
3.05.2015;240,4
4.05.2015;239
5.05.2015;236,1
6.05.2015;229,8
7.05.2015;237,3
8.05.2015;243,9
9.05.2015;241,8
10.05.2015;240,3
11.05.2015;242,2
12.05.2015;241,1
13.05.2015;236,4
14.05.2015;236,9
15.05.2015;237,6
16.05.2015;236,2
17.05.2015;236,8
18.05.2015;233,1
19.05.2015;232
